14-mar-2019,,,,,,,,,,,,,,,
iShares 20+ Year Treasury Bond ETF,,,,,,,,,,,,,,,
Inception Date,22-jul-2002,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 10,186,996,785.75",,,,,,,,,,,,,,
Number of Securities,34.00,,,,,,,,,,,,,,
Share,"83,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nombre,Clase de activo,Peso (%),Precio,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Cupón (%),Plazo,YTM (%),Yield to Call (%),Yield to Worst (%),Duración,Par Value
TREASURY BOND,Fixed Income,3.25,94.31,"329,559,547.32","329,559,547.32",Bonos del Tesoro,BF92XY6,US912810RZ30,2.75,15-nov-2047,3.05,--,3.05,19.01,"346,130,200.00"
TREASURY BOND,Fixed Income,3.19,95.61,"323,603,713.31","323,603,713.31",Bonos del Tesoro,B75JF50,US912810QX90,2.75,15-ago-2042,3.01,--,3.01,16.85,"337,726,100.00"
TREASURY BOND,Fixed Income,3.06,95.57,"310,641,651.81","310,641,651.81",Bonos del Tesoro,B8JB195,US912810QY73,2.75,15-nov-2042,3.01,--,3.01,16.85,"321,981,100.00"
TREASURY BOND,Fixed Income,2.97,101.90,"301,031,838.47","301,031,838.47",Bonos del Tesoro,B89T3Q0,US912810QZ49,3.13,15-feb-2043,3.01,--,3.01,16.68,"294,749,200.00"
TREASURY BOND,Fixed Income,2.89,127.04,"292,803,192.01","292,803,192.01",Bonos del Tesoro,B3M3870,US912810QE10,4.63,15-feb-2040,2.89,--,2.89,14.19,"229,851,600.00"
TREASURY BOND,Fixed Income,2.72,99.08,"275,565,614.20","275,565,614.20",Bonos del Tesoro,BG0D0F5,US912810SA79,3.00,15-feb-2048,3.05,--,3.05,18.91,"277,492,000.00"
TREASURY BOND,Fixed Income,2.13,99.46,"216,117,875.13","216,117,875.13",Bonos del Tesoro,BSJWZQ3,US912810RJ97,3.00,15-nov-2044,3.03,--,3.03,17.45,"215,147,500.00"
TREASURY BOND,Fixed Income,1.72,123.02,"174,686,379.18","174,686,379.18",Bonos del Tesoro,B59RHH2,US912810QD37,4.38,15-nov-2039,2.89,--,2.89,14.10,"140,353,600.00"
TREASURY BOND,Fixed Income,0.99,121.08,"100,779,624.56","100,779,624.56",Bonos del Tesoro,B41K8R9,US912810QB70,4.25,15-may-2039,2.87,--,2.87,13.95,"82,283,100.00"
TREASURY BOND,Fixed Income,0.90,101.54,"91,646,513.50","91,646,513.50",Bonos del Tesoro,BD59D47,US912810SC36,3.13,15-may-2048,3.05,--,3.05,18.70,"89,356,800.00"
TREASURY BOND,Fixed Income,0.79,99.38,"80,489,178.13","80,489,178.13",Bonos del Tesoro,BDRJ2Q0,US912810RV26,3.00,15-feb-2047,3.03,--,3.03,18.53,"80,807,100.00"
TREASURY BOND,Fixed Income,0.43,99.50,"43,796,004.66","43,796,004.66",Bonos del Tesoro,BXC4FZ0,US912810RM27,3.00,15-may-2045,3.03,--,3.03,17.67,"43,585,800.00"
BLK CSH FND TREASURY SL AGENCY,Money Market,0.30,1.00,"30,122,296.70","30,122,296.70",Liquidez,--,US0669224778,2.48,--,2.40,--,2.40,0.08,"30,122,297.00"
TREASURY BOND (OLD),Fixed Income,0.16,106.57,"16,085,204.24","16,085,204.24",Bonos del Tesoro,BGRW851,US912810SE91,3.38,15-nov-2048,3.04,--,3.04,18.59,"14,938,000.00"
TREASURY BOND,Fixed Income,0.16,106.13,"15,837,177.15","15,837,177.15",Bonos del Tesoro,BM7S970,US912810RG58,3.38,15-may-2044,3.03,--,3.03,16.83,"14,768,200.00"
TREASURY BOND,Fixed Income,0.13,112.83,"13,271,172.60","13,271,172.60",Bonos del Tesoro,B459474,US912810QS06,3.75,15-ago-2041,2.96,--,2.96,15.44,"11,732,800.00"
TREASURY BOND,Fixed Income,0.08,131.45,"8,290,643.45","8,290,643.45",Bonos del Tesoro,B23Y8Q4,US912810PU60,5.00,15-may-2037,2.78,--,2.78,12.60,"6,229,400.00"
TREASURY BOND,Fixed Income,0.08,102.48,"8,084,990.27","8,084,990.27",Bonos del Tesoro,B6ZKRY9,US912810QT88,3.13,15-nov-2041,2.97,--,2.97,15.99,"7,811,000.00"
TREASURY BOND,Fixed Income,0.07,123.10,"7,307,618.95","7,307,618.95",Bonos del Tesoro,B3TCBS2,US912810QH41,4.38,15-may-2040,2.91,--,2.91,14.32,"5,867,700.00"
TREASURY BOND,Fixed Income,0.04,122.72,"4,542,475.86","4,542,475.86",Bonos del Tesoro,B2PKS37,US912810PW27,4.38,15-feb-2038,2.82,--,2.82,13.41,"3,691,600.00"
TREASURY BOND,Fixed Income,0.04,124.73,"3,956,426.93","3,956,426.93",Bonos del Tesoro,B3CJB24,US912810PX00,4.50,15-may-2038,2.82,--,2.82,13.34,"3,134,900.00"
USD CASH,Cash,0.00,100.00,"3,150.00","3,150.00",Liquidez,--,--,0.00,--,2.48,--,2.48,0.00,"3,150.00"
