14-mar-2019,,,,,,,,,,,,,,,
iShares 1-3 Year Treasury Bond ETF,,,,,,,,,,,,,,,
Inception Date,22-jul-2002,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 20,287,621,692.22",,,,,,,,,,,,,,
Number of Securities,67.00,,,,,,,,,,,,,,
Share,"242,200,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nombre,Clase de activo,Peso (%),Precio,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Cupón (%),Plazo,YTM (%),Yield to Call (%),Yield to Worst (%),Duración,Par Value
TREASURY NOTE,Fixed Income,2.19,98.75,"443,101,640.14","443,101,640.14",Bonos del Tesoro,BF0NCN0,US912828XU94,1.50,15-jun-2020,2.51,--,2.51,1.23,"447,014,000.00"
TREASURY NOTE,Fixed Income,2.10,100.69,"426,233,781.64","426,233,781.64",Bonos del Tesoro,BFZLQQ0,US9128284W72,2.75,15-ago-2021,2.45,--,2.45,2.33,"422,414,700.00"
TREASURY NOTE,Fixed Income,1.98,98.71,"401,043,133.52","401,043,133.52",Bonos del Tesoro,BWSSM92,US912828K585,1.38,30-abr-2020,2.54,--,2.54,1.11,"404,165,000.00"
TREASURY NOTE,Fixed Income,1.93,99.32,"391,742,966.63","391,742,966.63",Bonos del Tesoro,BJ8S161,US912828B584,2.13,31-ene-2021,2.50,--,2.50,1.83,"393,424,000.00"
TREASURY NOTE,Fixed Income,1.88,101.10,"380,429,846.17","380,429,846.17",Bonos del Tesoro,BGRW828,US9128285L09,2.88,15-nov-2021,2.45,--,2.45,2.54,"372,785,000.00"
TREASURY NOTE,Fixed Income,1.82,99.79,"369,411,286.52","369,411,286.52",Bonos del Tesoro,BHBXYP9,US912828A834,2.38,31-dic-2020,2.50,--,2.50,1.74,"368,414,000.00"
TREASURY NOTE,Fixed Income,1.81,98.68,"367,075,335.39","367,075,335.39",Bonos del Tesoro,BDCSGC6,US9128282J89,1.50,15-jul-2020,2.51,--,2.51,1.31,"371,082,000.00"
TREASURY NOTE,Fixed Income,1.78,98.54,"361,044,005.97","361,044,005.97",Bonos del Tesoro,BYVX7L5,US912828M987,1.63,30-nov-2020,2.50,--,2.50,1.67,"364,662,000.00"
TREASURY NOTE,Fixed Income,1.75,99.55,"354,175,514.87","354,175,514.87",Bonos del Tesoro,BKXH1X7,US912828C574,2.25,31-mar-2021,2.48,--,2.48,1.97,"352,144,000.00"
TREASURY NOTE,Fixed Income,1.65,98.92,"333,978,142.89","333,978,142.89",Bonos del Tesoro,BQ717J5,US912828D721,2.00,31-ago-2021,2.45,--,2.45,2.39,"337,340,000.00"
TREASURY NOTE,Fixed Income,1.62,98.86,"328,639,574.92","328,639,574.92",Bonos del Tesoro,BRYG9Z0,US912828F965,2.00,31-oct-2021,2.45,--,2.45,2.53,"329,942,000.00"
TREASURY NOTE,Fixed Income,1.47,99.18,"297,826,746.41","297,826,746.41",Bonos del Tesoro,BBPM6Y3,US912828VJ67,1.88,30-jun-2020,2.52,--,2.52,1.27,"299,134,000.00"
TREASURY NOTE,Fixed Income,1.30,100.72,"262,636,256.54","262,636,256.54",Bonos del Tesoro,BF28Q08,US9128285A44,2.75,15-sep-2021,2.45,--,2.45,2.38,"260,761,900.00"
TREASURY NOTE,Fixed Income,1.18,100.36,"238,983,071.32","238,983,071.32",Bonos del Tesoro,BF2RFP3,US9128284T44,2.63,15-jun-2021,2.46,--,2.46,2.16,"236,588,000.00"
TREASURY NOTE,Fixed Income,1.07,97.41,"217,467,272.77","217,467,272.77",Bonos del Tesoro,BYXFJ35,US912828P873,1.13,28-feb-2021,2.48,--,2.48,1.92,"223,135,000.00"
TREASURY NOTE,Fixed Income,1.06,99.23,"213,985,683.28","213,985,683.28",Bonos del Tesoro,BF23JH1,US912828VZ00,2.00,30-sep-2020,2.51,--,2.51,1.50,"213,681,000.00"
TREASURY NOTE,Fixed Income,1.02,97.96,"207,542,556.19","207,542,556.19",Bonos del Tesoro,BDHLRB6,US912828N894,1.38,31-ene-2021,2.49,--,2.49,1.84,"211,510,000.00"
TREASURY NOTE,Fixed Income,0.75,100.38,"151,413,536.08","151,413,536.08",Bonos del Tesoro,BFXP590,US912828Y206,2.63,15-jul-2021,2.45,--,2.45,2.25,"150,196,000.00"
TREASURY NOTE,Fixed Income,0.73,99.52,"148,306,890.80","148,306,890.80",Bonos del Tesoro,BPFJZX4,US912828WY26,2.25,31-jul-2021,2.46,--,2.46,2.30,"148,618,000.00"
TREASURY BOND,Fixed Income,0.71,108.59,"144,536,759.97","144,536,759.97",Bonos del Tesoro,2917205,US912810EG95,8.75,15-ago-2020,2.57,--,2.57,1.35,"132,279,000.00"
TREASURY NOTE,Fixed Income,0.66,99.01,"133,428,837.20","133,428,837.20",Bonos del Tesoro,BMTSDM1,US912828WN60,2.00,31-may-2021,2.46,--,2.46,2.14,"133,980,000.00"
TREASURY NOTE,Fixed Income,0.65,98.45,"131,534,338.79","131,534,338.79",Bonos del Tesoro,BDFFCZ9,US912828V723,1.88,31-ene-2022,2.44,--,2.44,2.78,"133,310,000.00"
TREASURY NOTE,Fixed Income,0.51,97.40,"103,060,380.41","103,060,380.41",Bonos del Tesoro,BVJF875,US912828H862,1.50,31-ene-2022,2.44,--,2.44,2.79,"105,620,000.00"
TREASURY NOTE,Fixed Income,0.48,98.05,"96,395,182.01","96,395,182.01",Bonos del Tesoro,BVYY5G5,US912828J439,1.75,28-feb-2022,2.44,--,2.44,2.86,"98,240,000.00"
TREASURY NOTE,Fixed Income,0.46,98.86,"92,603,702.58","92,603,702.58",Bonos del Tesoro,BDG08Z5,US912828U816,2.00,31-dic-2021,2.42,--,2.42,2.69,"93,290,000.00"
TREASURY NOTE,Fixed Income,0.39,98.79,"79,240,977.04","79,240,977.04",Bonos del Tesoro,BZ03RT1,US912828XM78,1.63,31-jul-2020,2.52,--,2.52,1.35,"80,059,000.00"
TREASURY NOTE,Fixed Income,0.35,99.21,"71,644,724.08","71,644,724.08",Bonos del Tesoro,BQXKZK3,US912828F213,2.13,30-sep-2021,2.45,--,2.45,2.44,"71,516,000.00"
TREASURY NOTE,Fixed Income,0.28,96.96,"56,993,214.49","56,993,214.49",Bonos del Tesoro,BDR0D71,US912828T677,1.25,31-oct-2021,2.45,--,2.45,2.56,"58,496,000.00"
TREASURY NOTE,Fixed Income,0.23,100.51,"47,190,676.71","47,190,676.71",Bonos del Tesoro,BHSRJ71,US9128285R78,2.63,15-dic-2021,2.43,--,2.43,2.63,"46,651,000.00"
BLK CSH FND TREASURY SL AGENCY,Money Market,0.23,1.00,"47,091,879.68","47,091,879.68",Liquidez,--,US0669224778,2.48,--,2.40,--,2.40,0.08,"47,091,880.00"
TREASURY NOTE,Fixed Income,0.22,100.14,"44,629,567.83","44,629,567.83",Bonos del Tesoro,B55QYC7,US912828NT32,2.63,15-ago-2020,2.52,--,2.52,1.39,"44,475,000.00"
TREASURY NOTE,Fixed Income,0.21,99.26,"42,082,068.20","42,082,068.20",Bonos del Tesoro,BNGY448,US912828WR74,2.13,30-jun-2021,2.46,--,2.46,2.22,"42,212,000.00"
TREASURY NOTE,Fixed Income,0.20,98.27,"41,255,338.07","41,255,338.07",Bonos del Tesoro,BYSVW95,US912828L658,1.38,30-sep-2020,2.52,--,2.52,1.51,"41,714,000.00"
TREASURY NOTE,Fixed Income,0.20,99.81,"40,036,790.00","40,036,790.00",Bonos del Tesoro,BFNBH03,US9128284B36,2.38,15-mar-2021,2.47,--,2.47,1.92,"40,112,000.00"
TREASURY NOTE,Fixed Income,0.18,99.82,"36,631,809.11","36,631,809.11",Bonos del Tesoro,BFXTNQ5,US9128284J61,2.38,30-abr-2020,2.54,--,2.54,1.10,"36,375,000.00"
TREASURY NOTE,Fixed Income,0.18,98.79,"36,170,508.59","36,170,508.59",Bonos del Tesoro,BG4KTN3,US912828WC06,1.75,31-oct-2020,2.51,--,2.51,1.59,"36,375,000.00"
TREASURY NOTE,Fixed Income,0.18,98.63,"36,121,468.85","36,121,468.85",Bonos del Tesoro,BF7MHS0,US9128282Z22,1.63,15-oct-2020,2.51,--,2.51,1.55,"36,375,000.00"
TREASURY NOTE,Fixed Income,0.12,98.40,"25,171,162.53","25,171,162.53",Bonos del Tesoro,BF0SH96,US912828W556,1.88,28-feb-2022,2.44,--,2.44,2.86,"25,560,000.00"
TREASURY NOTE,Fixed Income,0.08,98.83,"15,708,302.14","15,708,302.14",Bonos del Tesoro,BF0TB08,US912828X968,1.50,15-may-2020,2.52,--,2.52,1.15,"15,815,000.00"
TREASURY NOTE,Fixed Income,0.05,98.36,"9,804,535.27","9,804,535.27",Bonos del Tesoro,BYXYL69,US912828L328,1.38,31-ago-2020,2.52,--,2.52,1.44,"9,962,000.00"
TREASURY NOTE,Fixed Income,0.04,98.70,"7,522,383.63","7,522,383.63",Bonos del Tesoro,BDFFS95,US912828N480,1.75,31-dic-2020,2.49,--,2.49,1.75,"7,594,000.00"
TREASURY NOTE (2OLD),Fixed Income,0.03,100.02,"5,941,355.49","5,941,355.49",Bonos del Tesoro,BHN74W6,US9128285S51,2.50,31-dic-2020,2.49,--,2.49,1.74,"5,910,000.00"
TREASURY NOTE,Fixed Income,0.02,102.14,"3,691,252.36","3,691,252.36",Bonos del Tesoro,B64GN62,US912828PX26,3.63,15-feb-2021,2.48,--,2.48,1.85,"3,604,000.00"
TREASURY BOND,Fixed Income,0.01,111.80,"2,289,512.51","2,289,512.51",Bonos del Tesoro,2931175,US912810EJ35,8.13,15-may-2021,2.50,--,2.50,1.98,"2,000,000.00"
TREASURY NOTE,Fixed Income,0.00,98.81,"595,596.98","595,596.98",Bonos del Tesoro,BWFRBR3,US912828J843,1.38,31-mar-2020,2.54,--,2.54,1.03,"599,000.00"
USD CASH,Cash,0.00,100.00,"272,565.29","272,565.29",Liquidez,--,--,0.00,--,2.48,--,2.48,0.00,"272,565.00"
TREASURY NOTE,Fixed Income,0.00,98.45,"224,424.99","224,424.99",Bonos del Tesoro,B9DDL83,US912828VA58,1.13,30-abr-2020,2.53,--,2.53,1.11,"227,000.00"
TREASURY NOTE,Fixed Income,0.00,98.56,"144,640.10","144,640.10",Bonos del Tesoro,B93NS15,US912828UV05,1.13,31-mar-2020,2.53,--,2.53,1.03,"146,000.00"
TREASURY NOTE,Fixed Income,0.00,99.73,"81,846.00","81,846.00",Bonos del Tesoro,BYZMJY5,US9128283Y48,2.25,29-feb-2020,2.54,--,2.54,0.95,"82,000.00"
TREASURY NOTE,Fixed Income,0.00,98.89,"76,782.72","76,782.72",Bonos del Tesoro,BVYXJ26,US912828J504,1.38,29-feb-2020,2.55,--,2.55,0.95,"77,600.00"
TREASURY NOTE,Fixed Income,0.00,99.10,"39,963.84","39,963.84",Bonos del Tesoro,BDFX3V6,US912828W630,1.63,15-mar-2020,2.54,--,2.54,0.98,"40,000.00"
TREASURY NOTE,Fixed Income,0.00,98.89,"18,906.66","18,906.66",Bonos del Tesoro,BYP3335,US912828X216,1.50,15-abr-2020,2.54,--,2.54,1.06,"19,000.00"
