14-mar-2019,,,,,,,,,,,,,,,
iShares Floating Rate Bond ETF,,,,,,,,,,,,,,,
Inception Date,14-jun-2011,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 10,535,607,458.24",,,,,,,,,,,,,,
Number of Securities,707.00,,,,,,,,,,,,,,
Share,"207,400,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nombre,Clase de activo,Peso (%),Precio,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Cupón (%),Plazo,YTM (%),Yield to Call (%),Yield to Worst (%),Duración,Par Value
SUMITOMO MITSUI BANKING CORPORATIO,Fixed Income,0.34,99.98,"36,262,072.37","36,262,072.37",Banca,BFWJSN8,US865622CK81,3.12,17-ene-2020,3.07,--,3.07,0.09,"36,095,000.00"
MITSUBISHI UFJ FINANCIAL GROUP INC,Fixed Income,0.32,100.12,"33,832,452.34","33,832,452.34",Banca,BFLT9W5,US606822AZ74,3.62,26-jul-2023,3.51,--,3.51,0.12,"33,640,000.00"
KOMMUNALBANKEN AS MTN 144A,Fixed Income,0.32,100.02,"33,531,949.19","33,531,949.19",Propiedad sin garantía,BG01GJ5,US50048MCK45,2.64,12-mar-2021,2.68,--,2.68,0.24,"33,520,000.00"
CITIBANK NA,Fixed Income,0.32,100.10,"33,456,905.79","33,456,905.79",Banca,BDT5ZL2,US17325FAP36,3.06,01-may-2020,2.97,--,2.97,0.13,"33,307,000.00"
MORGAN STANLEY,Fixed Income,0.31,101.89,"33,077,679.38","33,077,679.38",Banca,BZ3G4X0,US61746BEB80,4.16,21-abr-2021,3.16,--,3.16,0.13,"32,278,000.00"
INTER-AMERICAN DEVELOPMENT BANK MTN,Fixed Income,0.31,100.00,"32,980,185.67","32,980,185.67",Supranacional,BFZQBD7,US4581X0DE52,2.75,25-oct-2021,2.65,--,2.65,0.11,"32,860,000.00"
AT&T INC,Fixed Income,0.31,100.79,"32,881,871.46","32,881,871.46",Comunicaciones,BF2JH42,US00206RDV15,3.74,15-jul-2021,3.29,--,3.29,0.10,"32,432,000.00"
HSBC HOLDINGS PLC,Fixed Income,0.31,99.92,"32,767,457.27","32,767,457.27",Banca,BD05NZ1,US404280BQ12,3.28,18-may-2021,3.32,--,3.32,0.18,"32,725,000.00"
INTL BK RECON & DEVELOP,Fixed Income,0.31,100.20,"32,564,946.41","32,564,946.41",Supranacional,BYVQYH9,US45905UYY45,2.90,13-oct-2020,2.65,--,2.65,0.09,"32,347,000.00"
QUEBEC (PROVINCE OF) MTN,Fixed Income,0.31,100.12,"32,514,397.27","32,514,397.27",Autoridad Local,BZ974G0,US748149AL50,3.04,21-jul-2019,2.64,--,2.64,0.11,"32,335,000.00"
HSBC HOLDINGS PLC,Fixed Income,0.31,101.98,"32,463,279.23","32,463,279.23",Banca,BDCVX46,US404280BG30,4.29,05-ene-2022,3.46,--,3.46,0.09,"31,590,000.00"
MUNICIPALITY FINANCE PLC MTN 144A,Fixed Income,0.31,100.17,"32,391,315.18","32,391,315.18",Autoridad Local,BYMXPJ8,US62630CAJ09,2.91,07-feb-2020,2.67,--,2.67,0.15,"32,245,000.00"
JPMORGAN CHASE & CO,Fixed Income,0.30,100.68,"32,043,751.75","32,043,751.75",Banca,BVVM4N2,US46625HKB59,3.72,23-ene-2020,2.85,--,2.85,0.11,"31,665,000.00"
HSBC HOLDINGS PLC,Fixed Income,0.30,102.12,"31,685,423.95","31,685,423.95",Banca,BYN15S0,US404280AZ20,4.31,25-may-2021,3.35,--,3.35,0.23,"30,965,000.00"
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.30,100.83,"31,512,187.84","31,512,187.84",Banca,BD878N2,US38145GAF72,3.85,15-nov-2021,3.54,--,3.36,0.18,"31,165,000.00"
WELLS FARGO BANK NA FRN 7/23/21 MTN,Fixed Income,0.30,100.13,"31,416,943.01","31,416,943.01",Banca,--,US94988J5Q67,3.27,23-jul-2021,3.12,--,3.09,0.11,"31,235,000.00"
JPMORGAN CHASE & CO,Fixed Income,0.30,100.32,"31,283,565.82","31,283,565.82",Banca,BF1ZB72,US46647PAD87,3.67,25-abr-2023,3.50,--,3.48,0.13,"31,033,000.00"
BANK OF AMERICA NA,Fixed Income,0.29,100.03,"31,040,239.20","31,040,239.20",Banca,--,US06050TMH22,2.88,28-ago-2020,2.90,--,2.84,0.20,"30,995,000.00"
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.29,100.79,"30,883,712.13","30,883,712.13",Banca,BWTVBS2,US38148LAB27,3.93,23-abr-2020,3.14,--,3.08,0.11,"30,478,000.00"
NATIONAL AUSTRALIA BANK LIMITED MTN 144A,Fixed Income,0.29,100.41,"30,821,127.42","30,821,127.42",Banca,BZ0YQS6,US6325C0DP38,3.17,22-may-2020,2.84,--,2.84,0.19,"30,643,000.00"
HSBC HOLDINGS PLC,Fixed Income,0.29,99.89,"30,786,353.40","30,786,353.40",Banca,BGLRQD6,US404280BV07,3.25,11-sep-2021,3.37,--,3.37,0.25,"30,815,000.00"
CITIGROUP INC,Fixed Income,0.29,100.74,"30,610,960.73","30,610,960.73",Banca,BF1ZBR2,US172967LH22,3.73,25-abr-2022,3.40,--,3.39,0.13,"30,238,000.00"
US BANK NATIONAL ASSOCIATION,Fixed Income,0.29,100.06,"30,089,076.71","30,089,076.71",Banca,BD71716,US90331HNQ29,3.08,26-abr-2021,2.97,--,2.97,0.12,"29,955,000.00"
UBS GROUP FUNDING JERSEY LTD 144A,Fixed Income,0.28,102.36,"29,818,576.10","29,818,576.10",Banca,BYZBVJ1,US90351DAE76,4.58,14-abr-2021,3.31,--,3.31,0.11,"28,920,000.00"
INTER-AMERICAN DEVELOPMENT BANK MTN,Fixed Income,0.28,100.04,"29,401,930.49","29,401,930.49",Supranacional,--,US45818WBD74,2.79,15-oct-2019,2.62,--,2.62,0.09,"29,260,000.00"
PETROLEOS MEXICANOS,Fixed Income,0.28,102.91,"29,233,919.67","29,233,919.67",Propiedad sin garantía,BF2LHD7,US71654QCF72,6.25,11-mar-2022,5.33,--,5.33,0.29,"28,394,000.00"
CITIBANK NA,Fixed Income,0.27,99.94,"28,485,148.28","28,485,148.28",Banca,--,US17325FAM05,3.05,12-feb-2021,3.07,--,3.06,0.16,"28,430,000.00"
VERIZON COMMUNICATIONS INC,Fixed Income,0.27,101.30,"28,459,810.26","28,459,810.26",Comunicaciones,BYZNVB9,US92343VDX91,3.79,16-mar-2022,3.22,--,3.22,0.27,"27,839,000.00"
LLOYDS BANK PLC,Fixed Income,0.27,99.69,"28,270,249.33","28,270,249.33",Banca,BG13M81,US53944VAQ23,3.23,07-may-2021,3.32,--,3.32,0.15,"28,270,000.00"
CITIGROUP INC,Fixed Income,0.27,100.18,"28,208,877.66","28,208,877.66",Banca,BDD1CN7,US172967KT78,3.54,07-jun-2019,2.78,--,2.78,0.23,"28,140,000.00"
AT&T INC,Fixed Income,0.27,100.38,"28,141,907.28","28,141,907.28",Comunicaciones,BYPGBC9,US00206RDU32,3.44,15-ene-2020,2.88,--,2.88,0.09,"27,881,000.00"
ASIAN DEVELOPMENT BANK MTN,Fixed Income,0.26,100.13,"27,871,107.33","27,871,107.33",Supranacional,BYW38K0,US045167DY68,2.84,16-mar-2021,2.65,--,2.65,0.26,"27,645,000.00"
MITSUBISHI UFJ FINANCIAL GROUP INC,Fixed Income,0.26,100.14,"27,791,631.67","27,791,631.67",Banca,--,US606822AQ75,3.56,25-jul-2022,3.43,--,3.43,0.12,"27,621,000.00"
ROYAL BANK OF CANADA MTN,Fixed Income,0.26,100.18,"27,770,759.38","27,770,759.38",Banca,BYWFD78,US78013XKH07,3.14,30-abr-2021,2.98,--,2.98,0.13,"27,618,000.00"
JPMORGAN CHASE & CO,Fixed Income,0.26,100.80,"27,755,144.54","27,755,144.54",Banca,BYNXM30,US48128BAC54,3.79,15-ene-2023,3.47,--,3.39,0.10,"27,370,000.00"
KOMMUNALBANKEN AS MTN 144A,Fixed Income,0.26,100.22,"27,273,009.79","27,273,009.79",Propiedad sin garantía,BQQFJ70,US50048MBT62,2.72,08-sep-2021,2.70,--,2.70,0.24,"27,200,000.00"
EUROPEAN INVESTMENT BANK MTN 144A,Fixed Income,0.26,100.25,"27,091,098.08","27,091,098.08",Supranacional,BF6SRK1,US29878TCW27,2.93,24-mar-2021,2.65,--,2.65,0.03,"26,850,000.00"
MIZUHO FINANCIAL GROUP INC,Fixed Income,0.26,100.19,"27,073,894.12","27,073,894.12",Banca,--,US60687YAN94,3.48,11-sep-2022,3.50,--,3.50,0.25,"27,015,000.00"
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.26,100.20,"26,874,505.47","26,874,505.47",Banca,BD0TRS4,US38141GWF70,3.55,27-dic-2020,3.31,--,3.16,0.04,"26,618,000.00"
ROYAL BANK OF CANADA MTN,Fixed Income,0.25,100.73,"26,840,801.17","26,840,801.17",Banca,BD7F8V5,US78012KZD26,3.47,01-feb-2022,3.15,--,3.15,0.14,"26,542,000.00"
IBM CREDIT LLC,Fixed Income,0.25,99.70,"26,695,346.52","26,695,346.52",Tecnologia,--,US44932HAF01,2.89,05-feb-2021,3.01,--,3.01,0.15,"26,695,000.00"
BANK OF AMERICA CORP MTN,Fixed Income,0.25,100.83,"26,576,030.43","26,576,030.43",Banca,BYWMBG4,US06051GGJ22,3.78,24-abr-2023,3.47,--,3.41,0.13,"26,224,000.00"
JPMORGAN CHASE & CO,Fixed Income,0.25,100.24,"26,536,975.26","26,536,975.26",Banca,BF2XVY2,US46647PAG19,3.31,01-jun-2021,3.24,--,3.16,0.22,"26,443,000.00"
MORGAN STANLEY MTN,Fixed Income,0.25,101.64,"26,482,051.96","26,482,051.96",Banca,BYQ74P5,US61746BEC63,4.18,24-oct-2023,3.71,--,3.61,0.15,"25,910,000.00"
COMCAST CORPORATION,Fixed Income,0.25,100.08,"26,186,440.50","26,186,440.50",Comunicaciones,BGV63F4,US20030NCV10,3.13,01-oct-2020,2.96,--,2.96,0.05,"26,005,000.00"
CITIGROUP INC,Fixed Income,0.25,100.42,"26,119,687.50","26,119,687.50",Banca,BDDXT65,US172967LE90,3.57,10-ene-2020,2.97,--,2.90,0.08,"25,849,000.00"
ROYAL BANK OF SCOTLAND GROUP PLC,Fixed Income,0.25,99.18,"26,052,381.16","26,052,381.16",Banca,BDT74Z5,US780097BF78,4.15,15-may-2023,4.38,--,4.38,0.17,"26,185,000.00"
HSBC HOLDINGS PLC,Fixed Income,0.25,103.14,"26,050,028.88","26,050,028.88",Banca,BYQ6753,US404280AX71,4.83,08-mar-2021,3.29,--,3.29,0.27,"25,237,000.00"
CVS HEALTH CORP,Fixed Income,0.25,100.21,"25,933,972.81","25,933,972.81",Consumo no cíclico,BF4JKM9,US126650DD99,3.32,09-mar-2021,3.28,--,3.28,0.24,"25,873,000.00"
BAYER US FINANCE II LLC 144A,Fixed Income,0.24,99.42,"25,455,985.58","25,455,985.58",Consumo no cíclico,--,US07274NAC74,3.45,25-jun-2021,3.58,--,3.58,0.03,"25,415,000.00"
SVENSKA HANDELSBANKEN AB MTN,Fixed Income,0.24,100.18,"25,437,246.69","25,437,246.69",Banca,BFY2QS6,US86960BAU61,3.12,24-may-2021,3.06,--,3.06,0.20,"25,355,000.00"
BANK OF MONTREAL MTN,Fixed Income,0.24,100.34,"25,419,079.52","25,419,079.52",Banca,BD5BFC5,US06367TYM60,3.23,15-jun-2020,2.84,--,2.84,0.26,"25,138,000.00"
AT&T INC,Fixed Income,0.24,100.74,"25,214,873.31","25,214,873.31",Comunicaciones,BX3JSF5,US00206RCK68,3.73,30-jun-2020,3.03,--,3.03,0.05,"24,842,000.00"
AMERICAN EXPRESS CREDIT CORP MTN,Fixed Income,0.24,100.00,"25,143,028.55","25,143,028.55",Banca,BKT2ND0,US0258M0DL06,3.35,18-mar-2019,2.75,--,2.75,0.05,"24,943,000.00"
UBS GROUP FUNDING SWITZERLAND AG 144A,Fixed Income,0.24,101.96,"25,088,505.84","25,088,505.84",Banca,BD3VM59,US90351DAG25,4.27,01-feb-2022,3.52,--,3.52,0.16,"24,490,000.00"
INTER-AMERICAN DEVELOPMENT BANK,Fixed Income,0.24,100.37,"25,006,132.17","25,006,132.17",Supranacional,BYTQ8R9,US45818WBH88,3.01,15-oct-2020,2.66,--,2.66,0.09,"24,795,000.00"
CITIGROUP INC,Fixed Income,0.24,101.25,"24,905,331.32","24,905,331.32",Banca,--,US172967LB51,3.66,08-dic-2021,3.42,--,3.40,0.26,"24,584,000.00"
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.24,101.04,"24,886,934.27","24,886,934.27",Banca,BZ0V2G7,US38141GVQ45,3.99,15-sep-2020,3.19,--,3.14,0.26,"24,399,000.00"
INTER-AMERICAN DEVELOPMENT BANK,Fixed Income,0.24,100.37,"24,864,361.86","24,864,361.86",Supranacional,--,US45818WBK18,3.11,15-abr-2020,2.66,--,2.66,0.09,"24,650,000.00"
CONSOLIDATED EDISON COMPANY OF NEW,Fixed Income,0.23,99.89,"24,678,841.25","24,678,841.25",Eléctrico,--,US209111FR98,3.22,25-jun-2021,3.13,--,3.13,0.03,"24,537,000.00"
KOMMUNALBANKEN AS MTN 144A,Fixed Income,0.23,100.06,"24,582,204.38","24,582,204.38",Propiedad sin garantía,BWC4QQ1,US50048MBY57,2.86,17-mar-2020,2.68,--,2.68,0.26,"24,400,000.00"
ASIAN DEVELOPMENT BANK MTN,Fixed Income,0.23,100.32,"24,554,448.58","24,554,448.58",Supranacional,BZ9NB23,US045167DK64,2.97,26-feb-2020,2.66,--,2.66,0.20,"24,444,000.00"
BPCE SA MTN 144A,Fixed Income,0.23,100.69,"24,508,192.23","24,508,192.23",Banca,BYQN4R5,US05583JAB89,3.88,22-may-2022,3.68,--,3.68,0.20,"24,287,000.00"
JACKSON NATIONAL LIFE GLOBAL FUNDI MTN 144A,Fixed Income,0.23,100.35,"24,484,668.94","24,484,668.94",Seguro,--,US46849LSX00,3.55,27-jun-2022,3.30,--,3.30,0.05,"24,215,000.00"
VERIZON COMMUNICATIONS INC,Fixed Income,0.23,100.39,"24,464,784.97","24,464,784.97",Comunicaciones,BF2JH97,US92343VDZ40,3.21,22-may-2020,2.89,--,2.89,0.19,"24,326,000.00"
BANK OF AMERICA CORP MTN,Fixed Income,0.23,100.04,"24,464,682.73","24,464,682.73",Banca,--,US06051GHJ13,3.47,25-jun-2022,3.32,--,3.31,0.04,"24,274,000.00"
CITIGROUP INC,Fixed Income,0.23,101.51,"24,443,685.66","24,443,685.66",Banca,BYQBC86,US172967KW08,3.93,02-ago-2021,3.22,--,3.22,0.15,"23,977,000.00"
WELLS FARGO & COMPANY,Fixed Income,0.23,100.06,"24,096,534.87","24,096,534.87",Banca,BF6SRN4,US94974BFV71,3.22,22-abr-2019,2.74,--,2.74,0.11,"23,973,000.00"
UBS GROUP FUNDING SWITZERLAND AG 144A,Fixed Income,0.23,99.46,"24,055,245.34","24,055,245.34",Banca,--,US90352JAD54,3.63,15-ago-2023,3.77,--,3.77,0.16,"24,120,000.00"
ING GROEP NV,Fixed Income,0.23,100.46,"24,054,988.40","24,054,988.40",Banca,BD97NB4,US456837AJ28,3.95,29-mar-2022,3.68,--,3.68,0.05,"23,756,000.00"
BARCLAYS PLC,Fixed Income,0.23,102.06,"24,034,763.14","24,034,763.14",Banca,BYZDKN4,US06738EAR62,4.81,10-ago-2021,3.92,--,3.92,0.18,"23,451,000.00"
WELLS FARGO BANK NA,Fixed Income,0.23,100.10,"23,851,263.88","23,851,263.88",Banca,BZ6CSN3,US94988J5E38,3.25,24-may-2019,2.72,--,2.72,0.19,"23,790,000.00"
INTEL CORPORATION,Fixed Income,0.23,100.12,"23,813,237.68","23,813,237.68",Tecnologia,BF3W9S8,US458140BC30,3.05,11-may-2022,2.98,--,2.98,0.17,"23,723,000.00"
MITSUBISHI UFJ FINANCIAL GROUP INC,Fixed Income,0.23,99.70,"23,781,910.60","23,781,910.60",Banca,BG1THJ5,US606822AS32,3.36,02-mar-2023,3.49,--,3.49,0.22,"23,830,000.00"
BMW US CAPITAL LLC 144A,Fixed Income,0.22,99.88,"23,679,115.25","23,679,115.25",Consumo cíclico,BDZ2NV3,US05565EBD67,3.19,13-ago-2021,3.23,--,3.23,0.16,"23,647,000.00"
EXPORT DEVELOPMENT CANADA MTN 144A,Fixed Income,0.22,100.03,"23,654,303.41","23,654,303.41",Garantizado por el gobierno,BYT6ZZ6,US30216BFT44,2.70,13-ago-2019,2.61,--,2.61,0.16,"23,595,000.00"
CITIGROUP INC,Fixed Income,0.22,101.81,"23,489,109.67","23,489,109.67",Banca,BZ6C8S8,US172967KL43,4.18,30-mar-2021,3.16,--,3.16,0.06,"22,882,000.00"
DEUTSCHE BANK AG,Fixed Income,0.22,100.02,"23,459,586.32","23,459,586.32",Banca,BYYSPP7,US25152R5E95,4.61,10-may-2019,4.46,--,4.46,0.15,"23,362,000.00"
VOLKSWAGEN GROUP OF AMERICA FINANC 144A,Fixed Income,0.22,100.20,"23,357,395.89","23,357,395.89",Consumo cíclico,--,US928668AQ54,3.64,12-nov-2021,3.55,--,3.55,0.17,"23,240,000.00"
BANK OF AMERICA CORP MTN,Fixed Income,0.22,101.17,"23,343,862.63","23,343,862.63",Banca,BYM40Y1,US06051GGH65,3.92,20-ene-2023,3.52,--,3.42,0.13,"22,947,000.00"
TOYOTA MOTOR CREDIT CORP MTN,Fixed Income,0.22,99.97,"23,167,819.78","23,167,819.78",Consumo cíclico,BFNSQ41,US89236TEV35,3.08,13-abr-2021,2.97,--,2.97,0.09,"23,058,000.00"
BARCLAYS BANK PLC,Fixed Income,0.22,99.46,"23,086,982.18","23,086,982.18",Banca,BFNJ8D7,US06739FJK84,3.26,11-ene-2021,3.46,--,3.46,0.07,"23,083,000.00"
GOLDMAN SACHS GROUP INC/THE MTN,Fixed Income,0.22,102.21,"23,086,341.93","23,086,341.93",Banca,BGYY076,US38141EB818,4.23,29-nov-2023,3.78,--,3.78,0.26,"22,550,000.00"
WELLS FARGO & COMPANY MTN,Fixed Income,0.22,100.81,"23,013,676.59","23,013,676.59",Banca,BYRGZC5,US94974BGN47,3.64,22-jul-2020,2.96,--,2.96,0.11,"22,713,000.00"
ABN AMRO BANK NV MTN 144A,Fixed Income,0.22,100.03,"22,961,751.91","22,961,751.91",Banca,--,US00084DAS99,3.21,27-ago-2021,3.23,--,3.23,0.21,"22,924,000.00"
EXPORT-IMPORT BANK OF KOREA,Fixed Income,0.22,100.06,"22,867,687.65","22,867,687.65",Propiedad sin garantía,BD9NGK2,US302154CE71,3.22,21-oct-2019,3.05,--,3.05,0.11,"22,750,000.00"
JPMORGAN CHASE BANK NA FRN,Fixed Income,0.22,99.96,"22,828,281.33","22,828,281.33",Banca,BG0WP02,US48125LRP93,3.10,26-abr-2021,3.04,--,3.04,0.12,"22,750,000.00"
NBCUNIVERSAL ENTERPRISE INC 144A,Fixed Income,0.21,100.15,"22,636,627.69","22,636,627.69",Comunicaciones,BYW6401,US63946CAG33,3.20,01-abr-2021,3.00,--,3.00,0.05,"22,460,000.00"
TORONTO-DOMINION BANK/THE MTN,Fixed Income,0.21,100.10,"22,596,820.05","22,596,820.05",Banca,--,US89114QC633,3.05,17-sep-2020,2.87,--,2.87,0.26,"22,410,000.00"
WESTPAC BANKING CORP,Fixed Income,0.21,100.19,"22,560,459.37","22,560,459.37",Banca,BD36JW0,US961214EA74,3.40,15-may-2023,3.35,--,3.35,0.18,"22,460,000.00"
UBS AG (LONDON BRANCH) 144A,Fixed Income,0.21,100.10,"22,541,949.52","22,541,949.52",Banca,BD25JS4,US902674XJ46,3.11,01-dic-2020,3.09,--,3.09,0.22,"22,494,000.00"
JPMORGAN CHASE & CO,Fixed Income,0.21,101.37,"22,525,782.69","22,525,782.69",Banca,BDBGZF7,US46625HRU67,3.71,07-jun-2021,3.14,--,3.11,0.25,"22,206,000.00"
WELLS FARGO & COMPANY MTN,Fixed Income,0.21,100.44,"22,187,385.92","22,187,385.92",Banca,BVTW5C0,US94974BGG95,3.43,30-ene-2020,2.87,--,2.87,0.13,"22,000,000.00"
AMERICAN HONDA FINANCE CORPORATION MTN,Fixed Income,0.21,99.76,"22,182,915.05","22,182,915.05",Consumo cíclico,--,US02665WBW01,3.08,05-nov-2021,3.12,--,3.12,0.15,"22,165,000.00"
AMERICAN HONDA FINANCE CORPORATION MTN,Fixed Income,0.21,100.25,"22,178,022.43","22,178,022.43",Consumo cíclico,BF082F7,US02665WBN02,3.03,14-feb-2020,2.76,--,2.76,0.17,"22,071,000.00"
COMCAST CORPORATION,Fixed Income,0.21,100.16,"22,174,989.83","22,174,989.83",Comunicaciones,--,US20030NCW92,3.24,01-oct-2021,3.05,--,3.05,0.05,"22,000,000.00"
