14-mar-2019,,,,,,,,,,,,,,,
iShares Core U.S. Aggregate Bond ETF,,,,,,,,,,,,,,,
Inception Date,22-sep-2003,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 58,433,398,759.14",,,,,,,,,,,,,,
Number of Securities,"7,203.00",,,,,,,,,,,,,,
Share,"543,200,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nombre,Clase de activo,Peso (%),Precio,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Cupón (%),Plazo,YTM (%),Yield to Call (%),Yield to Worst (%),Duración,Par Value
GNMA2 30YR 2017 PRODUCTION,Fixed Income,0.57,102.96,"333,950,080.01","333,950,080.01",Hipotecas Respaldadas por Activos,--,--,4.00,20-abr-2048,3.29,--,3.29,2.97,"323,883,633.00"
TREASURY NOTE,Fixed Income,0.57,101.23,"333,234,612.80","333,234,612.80",Tesoro,BFXTNR6,US9128284L18,2.75,30-abr-2023,2.44,--,2.44,3.85,"325,917,900.00"
TREASURY BOND,Fixed Income,0.57,108.59,"331,779,441.65","331,779,441.65",Tesoro,2917205,US912810EG95,8.75,15-ago-2020,2.57,--,2.57,1.35,"303,706,000.00"
TREASURY NOTE,Fixed Income,0.57,102.14,"331,571,850.82","331,571,850.82",Tesoro,B64GN62,US912828PX26,3.63,15-feb-2021,2.48,--,2.48,1.85,"323,771,000.00"
FGOLD 30YR 2017 PRODUCTION,Fixed Income,0.56,102.69,"327,627,085.23","327,627,085.23",Hipotecas Respaldadas por Activos,--,--,4.00,01-jul-2048,3.52,--,3.52,3.10,"318,609,653.00"
FNMA 30YR 2015 PRODUCTION,Fixed Income,0.54,100.78,"313,426,645.53","313,426,645.53",Hipotecas Respaldadas por Activos,--,--,3.50,01-sep-2046,3.36,--,3.36,4.25,"310,603,388.00"
TREASURY NOTE,Fixed Income,0.50,100.43,"289,586,770.18","289,586,770.18",Tesoro,BGSLD18,US9128285Q95,2.75,30-nov-2020,2.49,--,2.49,1.65,"286,100,000.00"
TREASURY NOTE,Fixed Income,0.48,92.92,"280,034,984.14","280,034,984.14",Tesoro,BDH26G7,US9128282A70,1.50,15-ago-2026,2.55,--,2.55,6.94,"301,000,000.00"
TREASURY BOND,Fixed Income,0.47,99.24,"274,445,557.57","274,445,557.57",Tesoro,BF0T9Z9,US912810RX81,3.00,15-may-2047,3.04,--,3.04,18.48,"273,818,000.00"
TREASURY NOTE,Fixed Income,0.47,95.68,"272,614,629.65","272,614,629.65",Tesoro,BD59XC5,US912828S356,1.38,30-jun-2023,2.44,--,2.44,4.12,"284,100,000.00"
TREASURY NOTE,Fixed Income,0.47,97.29,"272,262,583.58","272,262,583.58",Tesoro,BVVT3Q9,US912828J272,2.00,15-feb-2025,2.49,--,2.49,5.54,"279,418,000.00"
TREASURY BOND,Fixed Income,0.47,90.36,"271,492,023.45","271,492,023.45",Tesoro,BVVT273,US912810RK60,2.50,15-feb-2045,3.04,--,3.04,18.34,"299,824,000.00"
TREASURY NOTE,Fixed Income,0.45,97.71,"261,037,472.75","261,037,472.75",Tesoro,BYPG9T2,US912828V988,2.25,15-feb-2027,2.57,--,2.57,7.19,"266,700,000.00"
TREASURY NOTE,Fixed Income,0.44,97.28,"259,245,767.75","259,245,767.75",Tesoro,BF92XX5,US9128283F58,2.25,15-nov-2027,2.60,--,2.60,7.75,"264,470,000.00"
TREASURY NOTE,Fixed Income,0.44,99.51,"254,421,082.52","254,421,082.52",Tesoro,BPYD731,US912828D564,2.38,15-ago-2024,2.47,--,2.47,5.05,"255,217,000.00"
TREASURY NOTE,Fixed Income,0.41,101.14,"240,901,731.57","240,901,731.57",Tesoro,BG0D0D3,US9128283W81,2.75,15-feb-2028,2.61,--,2.61,7.86,"237,702,000.00"
TREASURY NOTE,Fixed Income,0.41,101.96,"238,445,954.29","238,445,954.29",Tesoro,BGSLD29,US9128285P13,2.88,30-nov-2023,2.43,--,2.43,4.36,"232,000,000.00"
TREASURY NOTE,Fixed Income,0.41,96.98,"238,073,265.86","238,073,265.86",Tesoro,BYS2RD7,US912828K742,2.00,15-ago-2025,2.51,--,2.51,5.97,"245,115,000.00"
FNMA 15YR 2016 PRODUCTION,Fixed Income,0.40,98.50,"236,019,274.92","236,019,274.92",Hipotecas Respaldadas por Activos,--,--,2.50,01-oct-2031,2.83,--,2.83,4.05,"239,401,618.00"
TREASURY NOTE,Fixed Income,0.40,97.96,"234,688,920.33","234,688,920.33",Tesoro,BX2H0T8,US912828WZ90,1.75,30-abr-2022,2.43,--,2.43,3.01,"238,000,000.00"
TREASURY NOTE,Fixed Income,0.38,94.27,"222,666,482.29","222,666,482.29",Tesoro,BD2C0G0,US912828P469,1.63,15-feb-2026,2.53,--,2.53,6.48,"235,890,000.00"
TREASURY NOTE,Fixed Income,0.38,100.18,"218,871,513.27","218,871,513.27",Tesoro,B5TCBD1,US912828PC88,2.63,15-nov-2020,2.51,--,2.51,1.62,"216,606,000.00"
TREASURY BOND,Fixed Income,0.37,97.11,"217,637,292.37","217,637,292.37",Tesoro,BYSJ1Z8,US912810RN00,2.88,15-ago-2045,3.03,--,3.03,18.06,"223,625,000.00"
TREASURY NOTE,Fixed Income,0.36,99.55,"211,556,904.70","211,556,904.70",Tesoro,BLT2LR7,US912828WG10,2.25,30-abr-2021,2.47,--,2.47,2.05,"210,750,000.00"
FGOLD 15YR TBA(REG B),Fixed Income,0.36,100.22,"211,131,194.45","211,131,194.45",Hipotecas Respaldadas por Activos,--,US02R0304425,3.00,15-abr-2019,2.94,--,2.94,3.62,"210,676,134.00"
FNMA 30YR 2017 PRODUCTION,Fixed Income,0.36,100.57,"210,387,540.26","210,387,540.26",Hipotecas Respaldadas por Activos,--,--,3.50,01-ago-2047,3.40,--,3.40,4.25,"208,928,345.00"
FNMA 30YR 2016 PRODUCTION,Fixed Income,0.36,100.74,"208,544,263.76","208,544,263.76",Hipotecas Respaldadas por Activos,--,--,3.50,01-ene-2047,3.37,--,3.37,4.25,"206,757,776.00"
TREASURY NOTE,Fixed Income,0.36,101.33,"207,702,598.75","207,702,598.75",Tesoro,BG0MND1,US9128284X55,2.75,31-ago-2023,2.43,--,2.43,4.18,"204,765,000.00"
TREASURY NOTE,Fixed Income,0.35,98.63,"204,970,203.66","204,970,203.66",Tesoro,BB2D0H0,US912828VF46,1.38,31-may-2020,2.53,--,2.53,1.19,"206,997,000.00"
TREASURY NOTE,Fixed Income,0.35,97.27,"204,011,314.78","204,011,314.78",Tesoro,B8W8CY5,US912828VB32,1.75,15-may-2023,2.44,--,2.44,3.97,"208,504,000.00"
TREASURY NOTE,Fixed Income,0.34,98.54,"201,123,700.00","201,123,700.00",Tesoro,BSQXQH7,US912828G534,1.88,30-nov-2021,2.43,--,2.43,2.61,"203,000,000.00"
FGOLD 30YR TBA(REG A),Fixed Income,0.34,102.35,"200,639,204.54","200,639,204.54",Hipotecas Respaldadas por Activos,--,US02R0406493,4.00,10-abr-2019,3.39,--,3.39,3.10,"195,850,656.00"
TREASURY BOND,Fixed Income,0.34,127.36,"200,158,009.34","200,158,009.34",Tesoro,2724610,US912810FP85,5.38,15-feb-2031,2.68,--,2.68,9.18,"156,671,000.00"
TREASURY NOTE,Fixed Income,0.34,97.44,"197,909,987.85","197,909,987.85",Tesoro,BF53YJ5,US9128282R06,2.25,15-ago-2027,2.59,--,2.59,7.60,"202,750,000.00"
FGOLD 30YR 2017 PRODUCTION,Fixed Income,0.33,100.68,"192,280,508.48","192,280,508.48",Hipotecas Respaldadas por Activos,--,--,3.50,01-feb-2048,3.40,--,3.40,4.32,"190,744,824.00"
TREASURY BOND,Fixed Income,0.32,99.44,"188,996,439.52","188,996,439.52",Tesoro,BYQP1M5,US912810RP57,3.00,15-nov-2045,3.03,--,3.03,17.88,"188,200,000.00"
TREASURY BOND,Fixed Income,0.32,122.15,"188,759,795.31","188,759,795.31",Tesoro,2307271,US912810FF04,5.25,15-nov-2028,2.64,--,2.64,7.71,"152,377,000.00"
TREASURY NOTE,Fixed Income,0.32,98.88,"186,600,713.02","186,600,713.02",Tesoro,BYV8NP6,US912828N308,2.13,31-dic-2022,2.44,--,2.44,3.62,"187,900,000.00"
TREASURY NOTE,Fixed Income,0.31,98.44,"181,906,127.55","181,906,127.55",Tesoro,BD0NPC6,US912828W713,2.13,31-mar-2024,2.46,--,2.46,4.71,"183,000,000.00"
TREASURY NOTE,Fixed Income,0.31,97.83,"181,588,117.14","181,588,117.14",Tesoro,BXC4FY9,US912828XB14,2.13,15-may-2025,2.51,--,2.51,5.70,"184,300,000.00"
TREASURY NOTE,Fixed Income,0.31,99.33,"178,682,935.52","178,682,935.52",Tesoro,BJ8S161,US912828B584,2.13,31-ene-2021,2.49,--,2.49,1.83,"179,450,000.00"
TREASURY BOND,Fixed Income,0.31,121.00,"178,313,282.65","178,313,282.65",Tesoro,B5M0864,US912810QL52,4.25,15-nov-2040,2.93,--,2.93,14.62,"145,689,000.00"
TREASURY NOTE,Fixed Income,0.30,100.25,"174,058,774.73","174,058,774.73",Tesoro,BCZP0C5,US912828VS66,2.50,15-ago-2023,2.44,--,2.44,4.16,"173,311,000.00"
TREASURY NOTE,Fixed Income,0.30,97.69,"174,023,470.73","174,023,470.73",Tesoro,BYXJBX1,US912828L575,1.75,30-sep-2022,2.43,--,2.43,3.39,"176,700,000.00"
TREASURY NOTE,Fixed Income,0.30,99.27,"172,720,759.54","172,720,759.54",Tesoro,BNGY448,US912828WR74,2.13,30-jun-2021,2.45,--,2.45,2.22,"173,250,000.00"
TREASURY NOTE,Fixed Income,0.29,99.24,"170,798,309.55","170,798,309.55",Tesoro,BF23JH1,US912828VZ00,2.00,30-sep-2020,2.50,--,2.50,1.50,"170,550,000.00"
TREASURY NOTE,Fixed Income,0.29,96.11,"170,310,727.07","170,310,727.07",Tesoro,BZ1BP78,US912828U246,2.00,15-nov-2026,2.56,--,2.56,7.00,"176,000,000.00"
TREASURY NOTE,Fixed Income,0.29,98.78,"169,349,585.69","169,349,585.69",Tesoro,BYLY8M6,US912828XE52,1.50,31-may-2020,2.53,--,2.53,1.19,"170,704,000.00"
TREASURY NOTE,Fixed Income,0.29,101.10,"168,108,930.43","168,108,930.43",Tesoro,B45HSW1,US912828ND89,3.50,15-may-2020,2.54,--,2.54,1.13,"164,404,000.00"
TREASURY NOTE,Fixed Income,0.29,97.81,"166,556,820.22","166,556,820.22",Tesoro,BD2Z8L0,US912828X703,2.00,30-abr-2024,2.46,--,2.46,4.80,"169,000,000.00"
TREASURY NOTE,Fixed Income,0.28,98.55,"165,944,590.86","165,944,590.86",Tesoro,BYVX7L5,US912828M987,1.63,30-nov-2020,2.49,--,2.49,1.67,"167,600,000.00"
TREASURY BOND,Fixed Income,0.28,99.47,"165,724,655.71","165,724,655.71",Tesoro,BSJWZQ3,US912810RJ97,3.00,15-nov-2044,3.03,--,3.03,17.45,"164,977,000.00"
TREASURY NOTE,Fixed Income,0.28,98.47,"164,798,281.14","164,798,281.14",Tesoro,BYWKSB2,US912828M805,2.00,30-nov-2022,2.43,--,2.43,3.53,"166,400,000.00"
TREASURY NOTE,Fixed Income,0.28,97.67,"163,769,981.43","163,769,981.43",Tesoro,BD2BWQ1,US912828R770,1.38,31-may-2021,2.46,--,2.46,2.16,"167,000,000.00"
TREASURY NOTE,Fixed Income,0.28,99.78,"162,093,235.03","162,093,235.03",Tesoro,BFMTY74,US9128283U26,2.38,31-ene-2023,2.43,--,2.43,3.68,"162,000,000.00"
TREASURY NOTE,Fixed Income,0.28,98.13,"160,835,888.39","160,835,888.39",Tesoro,BYN94Z4,US9128282W90,1.88,30-sep-2022,2.43,--,2.43,3.38,"162,500,000.00"
TREASURY NOTE,Fixed Income,0.28,94.03,"160,759,114.64","160,759,114.64",Tesoro,BYZ2XV0,US912828R366,1.63,15-may-2026,2.54,--,2.54,6.66,"170,000,000.00"
FNMA 30YR 2017 PRODUCTION,Fixed Income,0.27,102.58,"160,251,646.50","160,251,646.50",Hipotecas Respaldadas por Activos,--,--,4.00,01-feb-2048,3.52,--,3.52,3.08,"156,007,548.00"
TREASURY BOND,Fixed Income,0.27,106.11,"158,906,651.69","158,906,651.69",Tesoro,BM7S970,US912810RG58,3.38,15-may-2044,3.03,--,3.03,16.83,"148,200,000.00"
TREASURY NOTE,Fixed Income,0.27,98.14,"158,120,243.75","158,120,243.75",Tesoro,BYXYL70,US912828L245,1.88,31-ago-2022,2.44,--,2.44,3.33,"161,000,000.00"
FNMA 15YR 2015 PRODUCTION,Fixed Income,0.27,100.33,"157,018,260.95","157,018,260.95",Hipotecas Respaldadas por Activos,--,--,3.00,01-sep-2030,2.88,--,2.88,3.62,"156,333,064.00"
TREASURY BOND,Fixed Income,0.27,94.34,"156,949,863.43","156,949,863.43",Tesoro,BF53YK6,US912810RY64,2.75,15-ago-2047,3.05,--,3.05,19.05,"166,000,000.00"
TREASURY NOTE,Fixed Income,0.27,98.06,"155,543,945.72","155,543,945.72",Tesoro,BZ1JYD1,US912828M490,1.88,31-oct-2022,2.44,--,2.44,3.46,"157,500,000.00"
GNMA2 30YR 2015 PRODUCTION,Fixed Income,0.26,99.73,"154,167,860.75","154,167,860.75",Hipotecas Respaldadas por Activos,--,--,3.00,20-may-2045,3.04,--,3.04,5.84,"154,412,538.00"
TREASURY NOTE,Fixed Income,0.26,98.20,"152,545,639.23","152,545,639.23",Tesoro,BD36HC6,US9128282P40,1.88,31-jul-2022,2.43,--,2.43,3.25,"155,000,000.00"
TREASURY NOTE,Fixed Income,0.26,98.77,"152,508,315.56","152,508,315.56",Tesoro,BSJWZX0,US912828G385,2.25,15-nov-2024,2.48,--,2.48,5.25,"153,266,000.00"
FNMA 30YR 3.5% SHLB 175K 2015,Fixed Income,0.26,101.23,"150,729,717.61","150,729,717.61",Hipotecas Respaldadas por Activos,--,--,3.50,01-may-2045,3.29,--,3.29,4.25,"148,709,044.00"
TREASURY NOTE,Fixed Income,0.26,98.29,"149,231,358.57","149,231,358.57",Tesoro,BY8L2B7,US912828XD79,1.88,31-may-2022,2.43,--,2.43,3.08,"151,000,000.00"
TREASURY BOND,Fixed Income,0.26,101.69,"148,831,442.92","148,831,442.92",Tesoro,BPYD753,US912810RH32,3.13,15-ago-2044,3.03,--,3.03,17.33,"146,019,000.00"
FGOLD 30YR 3.5% FICO <660 2017,Fixed Income,0.25,100.67,"147,579,660.40","147,579,660.40",Hipotecas Respaldadas por Activos,--,--,3.50,01-feb-2048,3.39,--,3.39,4.32,"146,420,579.00"
TREASURY BOND,Fixed Income,0.25,115.61,"145,765,421.05","145,765,421.05",Tesoro,2912987,US912810EM63,7.25,15-ago-2022,2.47,--,2.47,3.07,"125,500,000.00"
FNMA 30YR 2018 PRODUCTION,Fixed Income,0.24,102.33,"142,630,666.70","142,630,666.70",Hipotecas Respaldadas por Activos,--,--,4.00,01-dic-2048,3.37,--,3.37,3.08,"139,181,819.00"
TREASURY NOTE,Fixed Income,0.24,98.41,"140,944,842.47","140,944,842.47",Tesoro,BD0N7Z3,US912828W895,1.88,31-mar-2022,2.42,--,2.42,2.91,"142,000,000.00"
FGOLD 30YR TBA(REG A),Fixed Income,0.24,103.87,"138,862,980.99","138,862,980.99",Hipotecas Respaldadas por Activos,--,US02R0426459,4.50,10-abr-2019,3.25,--,3.25,2.07,"133,542,000.00"
TREASURY NOTE,Fixed Income,0.24,98.34,"137,794,801.38","137,794,801.38",Tesoro,BYQ26R6,US912828M565,2.25,15-nov-2025,2.52,--,2.52,6.11,"139,079,000.00"
TREASURY NOTE,Fixed Income,0.23,99.12,"136,189,232.73","136,189,232.73",Tesoro,BDG08X3,US912828V236,2.25,31-dic-2023,2.45,--,2.45,4.51,"136,775,000.00"
TREASURY NOTE,Fixed Income,0.23,98.63,"135,434,150.55","135,434,150.55",Tesoro,BYVVV84,US912828XQ82,2.00,31-jul-2022,2.43,--,2.43,3.24,"137,000,000.00"
TREASURY NOTE,Fixed Income,0.23,98.32,"133,051,487.91","133,051,487.91",Tesoro,BD2Z8K9,US912828X471,1.88,30-abr-2022,2.44,--,2.44,3.00,"134,375,000.00"
TREASURY NOTE,Fixed Income,0.23,99.02,"132,451,280.00","132,451,280.00",Tesoro,BMTSDM1,US912828WN60,2.00,31-may-2021,2.46,--,2.46,2.14,"133,000,000.00"
TREASURY NOTE,Fixed Income,0.23,96.49,"131,931,727.97","131,931,727.97",Tesoro,BYXFJ13,US912828P790,1.50,28-feb-2023,2.44,--,2.44,3.81,"136,653,000.00"
TREASURY NOTE,Fixed Income,0.23,99.05,"131,806,391.78","131,806,391.78",Tesoro,BZ56VG0,US912828XG01,2.13,30-jun-2022,2.43,--,2.43,3.15,"132,500,000.00"
TREASURY NOTE,Fixed Income,0.22,99.18,"129,622,971.50","129,622,971.50",Tesoro,BBPM6Y3,US912828VJ67,1.88,30-jun-2020,2.52,--,2.52,1.27,"130,197,000.00"
TREASURY NOTE,Fixed Income,0.22,97.88,"128,876,317.52","128,876,317.52",Tesoro,BF1TTC5,US912828XW50,1.75,30-jun-2022,2.42,--,2.42,3.17,"131,200,000.00"
TREASURY BOND,Fixed Income,0.22,129.32,"128,583,415.90","128,583,415.90",Tesoro,B3RFGR7,US912810QN19,4.75,15-feb-2041,2.93,--,2.93,14.54,"99,158,000.00"
TREASURY NOTE,Fixed Income,0.22,98.48,"127,881,395.50","127,881,395.50",Tesoro,BF0SHB8,US912828W481,2.13,29-feb-2024,2.45,--,2.45,4.67,"129,750,000.00"
GNMA2 30YR 2015 PRODUCTION,Fixed Income,0.22,101.65,"126,460,421.57","126,460,421.57",Hipotecas Respaldadas por Activos,--,--,3.50,20-nov-2045,3.17,--,3.17,4.56,"124,257,963.00"
FGOLD 15YR TBA(REG B),Fixed Income,0.21,98.49,"123,873,792.14","123,873,792.14",Hipotecas Respaldadas por Activos,--,US02R0224490,2.50,15-abr-2019,2.84,--,2.84,4.03,"125,643,962.00"
TREASURY NOTE,Fixed Income,0.21,99.56,"122,805,637.37","122,805,637.37",Tesoro,BKXH1X7,US912828C574,2.25,31-mar-2021,2.47,--,2.47,1.97,"122,100,000.00"
TREASURY BOND,Fixed Income,0.21,99.46,"120,738,721.79","120,738,721.79",Tesoro,BXC4FZ0,US912810RM27,3.00,15-may-2045,3.03,--,3.03,17.66,"120,200,000.00"
TREASURY BOND,Fixed Income,0.21,123.82,"120,505,254.36","120,505,254.36",Tesoro,2285269,US912810FE39,5.50,15-ago-2028,2.63,--,2.63,7.58,"97,000,000.00"
TREASURY NOTE,Fixed Income,0.20,99.30,"119,286,757.97","119,286,757.97",Tesoro,BCF0W46,US912828VP28,2.00,31-jul-2020,2.52,--,2.52,1.35,"119,850,000.00"
TREASURY BOND,Fixed Income,0.20,127.01,"119,202,369.22","119,202,369.22",Tesoro,B3M3870,US912810QE10,4.63,15-feb-2040,2.89,--,2.89,14.19,"93,600,000.00"
TREASURY NOTE,Fixed Income,0.20,98.38,"118,153,783.79","118,153,783.79",Tesoro,B9CDBG2,US912828UN88,2.00,15-feb-2023,2.44,--,2.44,3.74,"119,920,000.00"
FNMA 30YR TBA(REG A),Fixed Income,0.20,103.67,"117,757,754.61","117,757,754.61",Hipotecas Respaldadas por Activos,--,US01F0426407,4.50,10-abr-2019,3.28,--,3.28,2.16,"113,467,000.00"
TREASURY NOTE,Fixed Income,0.20,98.06,"117,534,699.76","117,534,699.76",Tesoro,BVYY5G5,US912828J439,1.75,28-feb-2022,2.43,--,2.43,2.86,"119,775,000.00"
TREASURY BOND,Fixed Income,0.20,90.00,"116,156,301.75","116,156,301.75",Tesoro,BD2C0D7,US912810RQ31,2.50,15-feb-2046,3.05,--,3.05,18.78,"128,800,000.00"
FGOLD 30YR 2018 PRODUCTION,Fixed Income,0.20,104.04,"116,036,811.20","116,036,811.20",Hipotecas Respaldadas por Activos,--,--,4.50,01-oct-2048,3.25,--,3.25,2.07,"111,352,116.00"
TREASURY NOTE,Fixed Income,0.20,97.75,"116,020,465.71","116,020,465.71",Tesoro,BDZZ3J0,US912828XT22,2.00,31-may-2024,2.46,--,2.46,4.89,"118,000,000.00"
TREASURY NOTE,Fixed Income,0.20,98.45,"115,821,298.82","115,821,298.82",Tesoro,B9DDL83,US912828VA58,1.13,30-abr-2020,2.53,--,2.53,1.11,"117,154,000.00"
TREASURY NOTE,Fixed Income,0.20,98.52,"115,779,989.56","115,779,989.56",Tesoro,BF0T9Y8,US912828X885,2.38,15-may-2027,2.58,--,2.58,7.32,"116,600,000.00"
TREASURY NOTE,Fixed Income,0.19,97.97,"112,066,207.70","112,066,207.70",Tesoro,BDHLRB6,US912828N894,1.38,31-ene-2021,2.48,--,2.48,1.84,"114,200,000.00"
FNMA 30YR 3.5% LTV > 90 2017,Fixed Income,0.19,100.55,"111,003,627.90","111,003,627.90",Hipotecas Respaldadas por Activos,--,--,3.50,01-abr-2048,3.40,--,3.40,4.25,"110,254,408.00"
TREASURY NOTE,Fixed Income,0.19,98.28,"110,641,943.24","110,641,943.24",Tesoro,BD36HF9,US9128282N91,2.13,31-jul-2024,2.47,--,2.47,5.04,"112,300,000.00"
TREASURY NOTE,Fixed Income,0.19,98.83,"110,445,056.44","110,445,056.44",Tesoro,BF0TB08,US912828X968,1.50,15-may-2020,2.52,--,2.52,1.15,"111,200,000.00"
FNMA 30YR 3.5% FICO <660 2018,Fixed Income,0.19,100.56,"110,079,568.68","110,079,568.68",Hipotecas Respaldadas por Activos,--,--,3.50,01-feb-2048,3.40,--,3.40,4.25,"109,329,220.00"
FGOLD 30YR 3% SHLB 175K 2016,Fixed Income,0.19,98.68,"109,053,938.42","109,053,938.42",Hipotecas Respaldadas por Activos,--,--,3.00,01-oct-2046,3.20,--,3.20,5.81,"110,387,421.00"
TREASURY BOND,Fixed Income,0.19,95.56,"108,598,051.62","108,598,051.62",Tesoro,B8JB195,US912810QY73,2.75,15-nov-2042,3.01,--,3.01,16.85,"112,580,000.00"
FNMA 30YR TBA(REG A),Fixed Income,0.19,102.24,"108,004,692.93","108,004,692.93",Hipotecas Respaldadas por Activos,--,US01F0406441,4.00,10-abr-2019,3.37,--,3.37,3.08,"105,539,295.00"
TREASURY NOTE,Fixed Income,0.19,99.08,"107,982,634.05","107,982,634.05",Tesoro,BYQFT32,US912828V806,2.25,31-ene-2024,2.45,--,2.45,4.58,"108,700,000.00"
TREASURY BOND,Fixed Income,0.18,99.36,"105,559,842.32","105,559,842.32",Tesoro,BDRJ2Q0,US912810RV26,3.00,15-feb-2047,3.03,--,3.03,18.52,"106,000,000.00"
TREASURY NOTE,Fixed Income,0.18,99.53,"103,385,599.51","103,385,599.51",Tesoro,BPFJZX4,US912828WY26,2.25,31-jul-2021,2.45,--,2.45,2.30,"103,600,000.00"
TREASURY NOTE,Fixed Income,0.18,98.00,"102,748,120.00","102,748,120.00",Tesoro,BWFRBS4,US912828J769,1.75,31-mar-2022,2.43,--,2.43,2.92,"104,000,000.00"
TREASURY BOND,Fixed Income,0.18,122.59,"102,307,540.00","102,307,540.00",Tesoro,2388704,US912810FG86,5.25,15-feb-2029,2.65,--,2.65,7.96,"83,190,000.00"
TREASURY NOTE,Fixed Income,0.18,96.83,"102,297,845.30","102,297,845.30",Tesoro,BYMMK23,US912828R283,1.63,30-abr-2023,2.44,--,2.44,3.94,"105,000,000.00"
FNMA 30YR 3.5% HLB 150K 2015,Fixed Income,0.17,101.32,"101,416,281.17","101,416,281.17",Hipotecas Respaldadas por Activos,--,--,3.50,01-mar-2045,3.28,--,3.28,4.25,"99,965,505.00"
FNMA 30YR 4.5% LTV > 90 2017,Fixed Income,0.17,104.01,"100,989,387.59","100,989,387.59",Hipotecas Respaldadas por Activos,--,--,4.50,01-ago-2047,3.45,--,3.45,2.16,"96,947,175.00"
TREASURY NOTE,Fixed Income,0.17,96.42,"100,493,268.13","100,493,268.13",Tesoro,BD2MXT4,US912828Q293,1.50,31-mar-2023,2.44,--,2.44,3.86,"103,500,000.00"
FNMA 30YR 4% MLB 110K 2015,Fixed Income,0.17,103.86,"99,238,497.15","99,238,497.15",Hipotecas Respaldadas por Activos,--,--,4.00,01-may-2046,3.32,--,3.32,3.08,"95,419,449.00"
